exp_id,a_star,backtracking
mean_exec_time,0.008773101806640624,0.00532340145111084
std_exec_time,0.02811847887821552,0.01324579243033757
var_exec_time,0.0007906488544246523,0.0001754510171075881
mean_moves,9.82,10.221
std_moves,6.085195148883888,6.094600807271958
var_moves,37.0296,37.144159
win_fraction,0.881,0.909
